,0,1,2,3,4,5,6
0,60.35,16.67,10.62,3.76,7.12,1.48,0.0
1,58.29,17.57,10.34,6.73,6.57,0.49,0.0
2,31.1,8.19,22.91,26.44,6.52,4.47,0.37
3,13.3,4.01,7.47,58.29,0.0,15.48,1.46
4,54.05,14.69,9.42,5.27,15.44,0.94,0.19
5,3.21,1.6,6.09,15.22,0.16,66.83,6.89
6,0.0,0.0,0.0,3.38,0.0,10.55,86.08
